DATASET_COLORSTRIP
SEPARATOR SPACE
DATASET_LABEL country
COLOR #66C2A5
COLOR_BRANCHES 0
DATA
NC_026433.1|H1N1|USA|Homo_sapiens|2009-04-09 #8DD3C7 USA
NC_026425.1|H7N9|China|Homo_sapiens|2013-03-05 #B5E2BF China
MH169357.1|H7N7|South_Korea|Anatidae|2016-11-23 #DDF2B8 South_Korea
MG770144.1|H1N1|South_Korea|Aves|2016-11-07 #DDF2B8 South_Korea
MG770152.1|H1N1|South_Korea|Aves|2016-11-07 #DDF2B8 South_Korea
MG770160.1|H1N1|South_Korea|Aves|2016-11-07 #DDF2B8 South_Korea
MG770176.1|H1N1|South_Korea|Aves|2016-11-07 #DDF2B8 South_Korea
MF673163.1|H3N2|China|Homo_sapiens|2017-08-07 #B5E2BF China
MG386182.1|H3N3|South_Korea|Aves|2016-11-03 #DDF2B8 South_Korea
KX703019.1|H11N9|South_Korea|Anatidae|2016-01-21 #DDF2B8 South_Korea
MF973225.1|H5N8|Zimbabwe|Gallus_gallus|2017-05-25 #FAFAB5 Zimbabwe
KJ907495.1|H3N1|China|Sibirionetta_formosa|2012-05-15 #B5E2BF China
KJ907503.1|H3N2|China|Sibirionetta_formosa|2013-11-01 #B5E2BF China
KJ907511.1|H3N2|China|Sibirionetta_formosa|2013-11-01 #B5E2BF China
KJ907519.1|H3N3|China|Numenius_arquata|2013-04-01 #B5E2BF China
KJ907527.1|H3N6|China|Numenius_arquata|2013-04-01 #B5E2BF China
KJ907535.1|H3N6|China|Numenius_arquata|2013-04-01 #B5E2BF China
KJ907543.1|H3N8|China|Sibirionetta_formosa|2013-11-01 #B5E2BF China
KJ907551.1|H3N8|China|Sibirionetta_formosa|2012-05-01 #B5E2BF China
KJ907559.1|H4N6|China|Anatidae|2011-12-01 #B5E2BF China
KJ907567.1|H4N6|China|Anatidae|2011-12-01 #B5E2BF China
KJ907575.1|H4N8|China|Anser_anser|2013-09-01 #B5E2BF China
KJ907583.1|H4N8|China|Anser_anser|2013-09-01 #B5E2BF China
KJ907591.1|H4N8|China|Anser_anser|2013-09-01 #B5E2BF China
KJ907607.1|H5N1|China|Gallus_gallus|2013-04-01 #B5E2BF China
KJ907615.1|H5N1|China|Gallus_gallus|2013-05-01 #B5E2BF China
KJ907623.1|H5N1|China|Parus_major|2013-10-01 #B5E2BF China
KJ907631.1|H5N1|China|Anatidae|2013-04-01 #B5E2BF China
KJ907639.1|H5N1|China|Anas_platyrhynchos|2013-08-01 #B5E2BF China
KJ907655.1|H6N1|China|Anas_crecca|2013-12-01 #B5E2BF China
KJ907663.1|H6N1|China|Anas_crecca|2013-12-01 #B5E2BF China
KJ907671.1|H6N2|China|Anas_crecca|2013-12-01 #B5E2BF China
KJ907679.1|H6N2|China|Anas_platyrhynchos|2013-10-01 #B5E2BF China
KJ907687.1|H9N2|China|Anatidae|2012-07-01 #B5E2BF China
KJ907695.1|H9N2|China|Otis_tarda|2012-04-01 #B5E2BF China
KJ907703.1|H9N2|China|Gallus_gallus|2013-10-01 #B5E2BF China
KJ907711.1|H13N6|China|Anas_platyrhynchos|2013-10-01 #B5E2BF China
KJ907719.1|H6N1|China|Anas_crecca|2013-12-01 #B5E2BF China
KJ907727.1|H3N2|China|Sibirionetta_formosa|2013-11-01 #B5E2BF China
MG572473.1|H7N9|China|Homo_sapiens|2017-02-13 #B5E2BF China
MG572481.1|H7N9|China|Homo_sapiens|2017-03-19 #B5E2BF China
MG572489.1|H7N9|China|Homo_sapiens|2017-04-20 #B5E2BF China
MK028594.1|H4N6|China|Anas_platyrhynchos|2011-03-10 #B5E2BF China
MF455308.1|H7N9|China|Homo_sapiens|2017-01 #B5E2BF China
MF455316.1|H7N9|China|Homo_sapiens|2017-03 #B5E2BF China
MG198920.1|H3N2|China|Homo_sapiens|2017-07-15 #B5E2BF China
MG572188.1|H1N1|Brazil|Sus_scrofa|2014-06 #E3E2C3 Brazil
MF987893.1|H7N1|South_Korea|Aves|2015-11-27 #DDF2B8 South_Korea
KP179322.1|H6N2|Mexico|Anas_platyrhynchos|2007-11-04 #CCC9D1 Mexico
